ISTILAH	KEPANJANGAN	PENGERTIAN	DEPARTEMEN	CARA PERHITUNGAN DAN KETERANGAN LAINNYA ( JIKA ADA)																			
PKB	penerimaan karyawan baru 	form yang digunakan oleh acc yang diberikan kepada calon karyawan baru sebagai salah satu berkas kelengkapan karyawan baru 	Sales,UW																				
PKS	Perjanjian Kerja Sama	Dokumen yang menunjukan kerjasama antar ACC dengan pihak lain secara legal	HC IR																				
PKWT	Perjanjian Kerja Waktu Tertentu	Perjanjian kerja antara pekerja dengan perusahaan untuk mengadakan hubungan kerja dalam waktu tertentu	HC IR																				
Plafon dealer		cara OH mengontrol supaya SP BPKB dari dealer used car yang jual new car jangan sampai lebih dari 90 hari	Operation																				
Plafon kredit		Jumlah utang yang sebenarnya yang harus dibayarkan oleh kreditur	Sales																				
Planning Cycle		Rekonsiliasi setting target kerja dan budget	CSCO																				
PMN	Prinsip Mengenal Nasabah	Prinsip untuk menegenal nasabah 	Compliance																				
PNBP	Penerimaan Negara Bukan Pajak	Seluruh penerimaan negara yang asalnya bukan dari pajak, sering juga disebut dengan non-tax.	Finance																				
PNC	Pay not current	Pembayaran yang masih memiliki sisa angsuran	AR																				
PO	Purchase Order	Surat pengajuan pembelian	Fleet Marketing																				
PO	Purchase Order	Sebuah dokumen yang dikirimkan ke Dealer untuk tanda bahwa ACC telah melakukan pemesanan unit.	Sales 																				
POCO	Potensi Compre	Daftar customer yang akan overdue diatas 30 hari pada saat tanggal akhir setiap bulan	Underwriting																				
Polis Asuransi		Surat yang berisi rincian perjanjian asuransi terhadap debitur selama masa kredit dengan ACC	Service																				
Pool	Pool	sebuah tempat dimana ACC menyimpan unit tarikan	National Remarketing																				
Portofolio Booking	Portofolio Booking	Profil sebaran customer ACC, rata- rata customer melakukan booking dengan DP berapa.	Sales 																				
Potensi aliran		Customer yang akan mengalir ke bucket selanjutnya	AR																				
Potensi compre		Unit F9PD yang akan mengalir ke bucket ARRO	AR																				
Potensi repo		Prediksi repo	AR																				
PotSS	Potensi Snapshot	Potensi snapshot akhir bulan (EOM) dibahas ketika meeting f9pd cabang	AR																				
Powo	Potensi write Off	Potensi resiko yang dimiliki AR Management karena kendaraan berpotensi untuk penghapusan account	AR																				
POWO	Potensi WO	Status akun yang berpotensi menjadi WO pada status tanggal tertentu	REMO																				
PP	peraturan perusahaan	sebuah peraturan dimana di dalamnya terdapat tata tertib yang berlaku di perusahaan	Compliance																				
PP	Pemuda Pancasila	Organisasi Massa yang mengklaim berdiri berlandaskan ideologi pancasilais. Awalnya ormas ini dibentuk sebagai organisasi paramiliter oleh Jend. Abdul Haris Nasution pada tahun 1959. Saat ini PP diketahui sebagai organisasi massa terbesar di Indonesia karena jangkauannya yang begitu luas dengan wilayah, cabang, bahkan ranting yang tersebar hampir di seluruh provinsi Indonesia. Ketua umumnya saat ini Japto Soerjosoemarno.	REMO	Ormas																			
PP Haruku	Pemuda Pendekar Harapan Maluku	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Maluku Utara, berbasis dari Kota Ambon, meluas hingga ke Ternate, dan Morotai. Ormas ini didirikan oleh Basri Sangadji, kini diketuai oleh Ongen Sangadji.	REMO	Ormas																			
PPAP	Perhitungan Pembayaran AP	Detil jumlah pencairan ke developer	Fleet																				
PPATK	Pusat Pelaporan Analisis Transaksi Keuangan	Lembaga intelijen bidang keuangan	RISK MIS																				
PPD 	Permohonan Pembayaran Dipercepat	Proses prepayment dari customer yang ingin melakukan pelunasan	Service																				
PPHK	Perjanjian pengalihan hak dan kewajiban	Proses pengalihan hak dan kewajiban dari satu customer kepada customer lain dengan sepengetahuan ACC 	Service																				
PPJB	Perjanjian Pengikatan Jual Beli	Dokumen bukti kepemilikan sebelum menjadi sertifikat	Fleet Marketing																				
PPJF	Perjanjian Pembiayaan Jaminan Fidusia	Kontrak Perjanjian Pembiayaan yang menjadi dasar hukum pemberian kredit.	Underwriting																				
PPKT	Persetujuan Pengeluaran Kendaraan Tarikan	Persetujuan dari departemen AR untuk mengeluarkan kendaraan tarikan untuk ditebus/diserahkan kepada pemenang lelang	AR																				
PR	Purchase request	proses pengajuan approval sistem untuk pembelian	GA																				
Pre Approve		Sistem yang memberikan privilege kepada cust. RO/AO untuk mendapatkan approve by sistem	Underwriting																				
Pre-Analis	pra analisa	Proses penggalian informasi customer diawal sebelum aplikasi diajukan ke komite kredit	SALES																				
Pre-Approve		Aplikasi dengan syarat dan ketentuan tertentu yang wajib di approve oleh komite kredit	Underwriting																				
Prediksi bayar		Prediksi customer yang akan melakukan pembayaran	AR																				
Premis Asuransi		Jumlah premi yang harus dibayar dalam pembiayaan kredit	Sales	Premi = OTR x 100% (allrisk) atau 80% (TLO) x 2,97% x tenor (dalam bentuk tahun)																			
Prepayment	Prepayment	Pelunasan kredit sebelum jatuh masa tenor (masa berakhirnya kredit)	Service	dikenakan biaya pinalty sebsar 7% dari sisa hutang.																			
Prepayment		Pelunasan yang dilakukan oleh customer atas unit yang dibiayai oleh ACC	AR																				
Price list		Daftar yang berisi detail kredit seperti uang muka, tenor, hingga harga cash	Sales																				
Privilege		hak, imunitas, atau manfaat yang hanya dapat dinikmati oleh segelintir orang	umum																				
Process Map		sebuah sistem untuk menggambarkan setiap langkah dalam suatu proses	HC LM																				
Productivity		Parameter pengukuran performance officer	MCS	(total job x std time) / 7 jam kerja																			
Productivity Surveyor		Productivity surveyor merupakan salah satu komponen insentif surveyor. Productivity dihitung berdasarkan total order survey. 	Surveyor	Rumus Total Productivity = DK + LK. Keterangan: (DK = total order/158) & (LK = total order/98)																			
Profile Booking Customer		profil sebaran customer ACC yang bisa dilihat dari wilayah/area, pekerjaan, tenor, DP, unit (merk & type), usaha dsb. 	Branch																				
Program Boosting MSCP AUTO 2000		Program reward lokal cabang ACC untuk dealer direct Toyota (AUTO 2000)	SALES																				
Program I - Samurai		Program reward dari ACC untuk dealer direct Isuzu	SALES																				
Program Small Dealer		Program reward Used Car ACC untuk dealer-dealer ukuran small	SALES																				
Promosi		Kenaikan jabatan berdasarkan penilaian Hasil untuk kerja, job value, potensi, kebutuhan bisnis, 	HC TPM																				
Proses Survey		Pengumpulan dan atau penyelidikan atas suatu data dan informasi yang nantinya akan digunakan sebagai bahan analisis keputusan kredit	Underwriting																				
PROVISI		Biaya yang dibebankan kepada Debitur	Sales																				
Prudent		Merupakan prinsip kehati-hatian dalam melakukan suatu aktifitas maupun pekerjaan untuk meminimalkan risiko negatif	HC IR																				
PSF 	Pratama Sedaya Finance	Salah satu perusahaan yang dinaungi oleh ACC	umum																				
PSO	Proedur Standard Operasional	Pedoman yang dibuat untuk mengatur stadarisasi langkah kerja	umum																				
PTP	Promise To Pay	Janji bayar yang diberikan oleh customer saat deskcoll menelfon customer	AR																				
PU	Pick Up	Salah satu jenis mobil	Sales																				
Pure 		Status customer pada list aging mati ARHO yang angusran pertama sudah masuk bucket ARHO	AR																				
QCDM	Quality, Cost, Delivery, Safety, Moral	Standar etika bisnis terkait pemakaian produk perusahaan afiliasi	RISK MIS																				
Quality		Salah satu value ACC : Proses yang cepat dan akurat  dengan mentalitas perbaikan secara terus menerus untuk hasil yang terukur dan terbaik	HC OD																				
RACV	Risk Adjusted Contribution  Value	Total nilai yang didapatkan dari CV yang didapat dikurangi total risk (losses) perusahaan.	Finance	CV - Risk																			
RATE EFF	Rate Efektif	Rate bunga berjalan	Sales																				
RATE FLAT	Rate Flat	Rate bunga tetap/konstan	Sales																				
RBC	Retail Business Commercial	Salah satu paket penjualan truk di ACC	Sales																				
RBS	Risk Based Supervision	menghitung kesembilan resiko perusahaan menggunakan template report OJK	RISK POL																				
RCCA	Retail Commercial Credit Analyst	Jabatan cabang officer yang bertugas untuk survey, dan menganalisa aplikasi pengajuan kredit yang bersifat commercial dan bertanggung jawab langung kepada BUH	Underwriting																				
RCF	Revenue Consumer Financing	Merupakan pendapatan dari bunga yang dikenakan kepada konsumen 	Finance																				
RD CA	Resume Data Close	Status aplikasi pada sistem yang menerangkan aplikasi sudah selesai proses penginputan	Underwriting																				
RDH	Regional Division Head	Salah satu jabatan di ACC	HC OD																				
RD OP	Resume Data Open	Status aplikasi pada sistem yang menerangkan aplikasi sedang dalam pengentian data	Underwriting																				
Re financing		Penjualan atas unit-unit ACC hasil dari penarikan customer overdue	National Remarketing																				
Real Time	Real Time	Status di EIS untuk menunjukkan data yang sesuai dengan saat ini 	HC OD																				
REANI	ACC NATIONAL INFORMATION	data cabang ( balance, volume, loss, inventory, comperhensive yang berisikan productivity, quality yang dapat dipilih berdasarkan PT, used, new, brand )	RISK MIS																				
REBAT	ARRO Basic Training	Training pembekalan selama 3 haru yang di berikan kepada karyawan baru ARRO, yang berisikan dasar-dasar dalam ARRO management 	REMO																				
Reconcile		Laporan yang digunakan untuk merekonsiliasi catatan pembayaran menurut bank	Finance																				
Reconditioning		Mengubah persyaratan kredit 	AR	Kapitulasi bunga																			
Recouncile Operation		Laporan yang sudah dilakukan verifikasi oleh area operation	Operation																				
Recovery		Penerimaan perusahaan yang diperoleh dari penjualan kendaraan yang sebelumnya merupakan kendaraan dengan status Write Off	Finance																				
Red Area City		Area dengan resiko kredit menengah dengan level Approval RODH	Underwriting																				
Red District		Istilah yang sering digunakan untuk area dimana penanganan customer menunggak sulit dilakukan. Pada kasus di Bali, area ini terdapat di Singaraja dan Bangli, atau area-area yang banyak terdapat pendatang dengan domisili kos berpindah-pindah.	AR																				
Red handling		Jumlah account handling segmen red	AR																				
red paid current		jumlah account paid current segmen red	AR																				
red repo	Red Reposition	jumlah account repo segmen red	AR																				
red success		jumlah account segmen red yang berhasil diselesaikan	AR																				
redeem		penebusan unit oleh acc ke pihak lain	AR																				
Refund Asuransi		Nilai yang dibayarkan kembali ke Dealer dari ACC sebagai keuntungan tambahan dari premi asuransi	Sales																				
region		Area operasi cabang seperti kalimantan, sulawesi	umum																				
Reimburse		Pencairan dana yang dibayar dibelakang	Operation																				
Reject		Keputusan komite kredit yang menolak pembiayaan kepada customer yang tidak memnuhi analisa 5C	Underwriting																				
Rejection rate 	rejection rate 	presentase jumlah aplikasi yang reject perEOM 	Underwriting																				
Rekening koran	Rekening koran	Laporan transaksi dan saldo rekening tabungan nasabah pada suatu bank setiap bulannya	Underwriting																				
REMO	Recovery Management	Officer yang menangani customer OVD > 60 hari	AR																				
REMO 1	Recovery management officer 1	Officer yg menangani bucket 61-90	AR																				
REMO 2	Recovery management officer 2	Officer yg menangani bucket 91-120	AR																				
REMO 3	Recovery management officer 3	Officer yg menangani bucket 121-150	AR																				
REMO 4	Recovery management officer 4	Officer yg menangani bucket 151-210	AR																				
REMO 5	Recovery management officer 5	Officer yg menangani bucket 211-290	AR																				
REMO 6	Recovery management officer 6	Officer yg menangani bucket 291- tak terhingga	AR																				
RENOAR		Form yang digunakan oleh underwriting officer sebagai salah satu tools dari MCS pada fase 2 (diambil dari nama konsultan)	Underwriting																				
Rep. Office	Repposession Office	Kantor Reposession	AR																				
REPA	Repposession Approval	Unit akan ditarik akan tetapi Surat Kuasa belum dicetak	AR																				
REPL	Repposession Letter	Surat Kuasa Penarikan sudah dicetak	AR																				
Replacement		penggantian no registrasi bagi aplikasi yang sudah pernah disurvey dalam waktu kurang dari 30 hari	Surveyor																				
REPO	Repposession 	Penarikan unit	Fleet Asset Management																				
Report Reconcile		report untuk reconcile data	RISK MIS																				
Reroute	Reroute	Percepatan penanganan di bagian AR Management atau maju ke bucket di atas karena suatu kondisi tertentu	AR																				
RESCHEDULE	Reschedule	Penjadwalan ulang piutang	Service																				
Re-schedule jatuh tempo		Penggantian jatuh tempo pembayaran atas permintaan customer dengan persyaratan tertentu	Sales dan Service																				
Reserve		pencadangan dana untuk meminimalisasi loss	RISK MIS																				
Resiko		Bentuk ketidakpastian di lapangan yang harus perusahaan hadapi bahkan harus di kelola	Internal Audit																				
result last	result last 	hasil akhir analisa credit 	Underwriting																				
Resurvey		Proses survey ulang untuk aplikasi yang DP CL ( lebih dari 30 hari ) atau dengan status survey dan kebutuhan tertentu	Surveyor																				
RET	Return	Status BPKB yang telah diberikan kepada customer yang telah melunasi kredit	Service																				
Revisi	Revisi	Pembaharuan pada kremo atau kontrak	Underwriting																				
RISK MIS	RISK Management Integrated System	Sistem management yg dimiliki oleh department Risk	RISK MIS																				
RISK protocol		setiap 3 bulan menilai cabang, area, secara keseluruhan yang ada LOR, balance diambil 3 cabang yang terburuk dan menjelaskan penyebab terjadinya	RISK POL																				
Risk Quick Report		jenis report yang dikeluarkan oleh departemen risk yang menunjukan perbandingan balance dan loss untuk segmen retail, fleet dan nasional	RISK MIS																				
Risk register		menelaah resiko apa saja yang mungkin tejadi dalam kegiatan bisnis	RISK POL																				
risk sharing	risk Sharing	pengelolaan resiko dengan cara membagi resiko ke patner bisnis	RISK POL																				
Ritase		rute pergi pulang pergi	Fleet																				
RK	Rekening Koran	Laporan keuangan customer dalam periode tertentu	Underwriting																				
RMC	Recovery Management Coordinator	Koordinator dari para petugas REMO	AR																				
RO	Repeat Order	Pengajuan kredit setelah proses kredit yang sebelumnya selesai	Sales																				
RO	Representative Office	Kantor cabang ACC 	HC OD																				
RODH	Retail Operation Division Head	Merupakan suatu jabatan division head khusus penanganan operational di cabang	Operation																				
Roll in		Aliran yg masuk ke dalam bucket	AR																				
Roll rate		aliran bucket AR	AR																				
Roll rate		aliran bucket AR	AR	(Roll out/Handling) x 100%																			
Rollback	Rollback	Perpindahan bucket customer di departemen AR Management karena mundurnya jumlah hari keterlambatan pembayaran angsuran	AR																				
rollout		Aliran ke bucket penanganan selanjutnya	AR																				
rootcause		akar masalah dari suatu kasus apapun departemennya	umum																				
ROSDDH	Retail Operation Support Development Divison Head	Merupakan suatu jabatan division head khusus support operational di cabang	Operation																				
Rotasi		Perubahan / perpindahan posisi/jabatan yang dilakukan di dalam fungsi/departement yang sama	HC TPM																				
ROYA	ROYA	proses pembatalan FIdusia	Service																				
RP	Risk Premium	persentase kesepakatan losses antara bank JF dengan ACC	RISK POL																				
RR ARHO	Roll rate ARHO	presentase aliran dari ARHO	AR																				
RR ARRO	Roll rate ARRO	presentase aliran dari ARRO	AR																				
RR DC	Roll rate DC	presentase aliran dari DC	AR																				
RR REMO	Roll rate REMO	presentase aliran dari REMO	AR																				
RRARH	Retail Regional Account Receivable Head	Merupakan suatu jabatan kepala area yang membawahi tiap section head/ARMH di masing-masing cabang dalam cakupan areanya	AR																				
RROH	Regional Retail Operation Head	Jabatan Area/wilayah yang membawahi OH area tertentu bertanggung jawab langsung pada RODH	Operation																				
RRSH	Regional Retail Sales Head	Jabatan Area/wilayah yang membawahi BM area tertentu bertanggung jawab langsung pada RSDH	Sales																				
RSCA	Risk Self Control and Self Assesment	metodologi untuk mengidentifikasi seberapa besar resiko yang mungkin terjadi dalam periode satu tahun sekali	RISK POL																				
RUW	Risk Underwriter	Approval otomatis aplikasi yang masuk ke risk MIS jika segemen RED melebihi CAPS dengan kriteria tertentu	Underwriting	OH																			
RUWD	Risk Underwriter Division 	Approval otomatis aplikasi yang masuk ke risk MIS jika segemen RED melebihi CAPS dengan kriteria tertentu	Underwriting	RODH																			
RUWH	Risk Underwriter Head 	Approval otomatis aplikasi yang masuk ke risk MIS jika segemen RED melebihi CAPS dengan kriteria tertentu	Underwriting	RROH																			
SAL	Sales Agent Leader	Jabatan Sales Officer yang khusus menangani Multiguna	SALES																				
Sales Agent		Pihak yang mengurusi tentang program multiguna ACC	Sales																				
SAS	Statistical Analysis System	program untuk mengolah data ASCII agar mempermudah dalam pengerjaan report biasanya diimport menjadi database	RISK MIS																				
SBD	Strategic Business Development	Merupakan pengembangan suatu strategi bisnis untuk dapat menambah daya saing perusahaan	RISK MIS																				
SBF	Survey by field 	jenis survey yang mana surveyor harus mendatangi tempat usaha, rumah atau kantor customer 	Surveyor																				
SBP	Survey by phone	jenis survey yang mana surveyor hanya menelpon customer tanpa mendatangi rumah/kantor/usahanya dengan  salah satu yaitu kriteria DP diatas 30%	Surveyor																				
SBSF	Swadharma Bhakti Sedaya Finance	Salah satu perusahaan yang dinaungi oleh ACC	umum																				
SBT	Sales Basic Training	Ujian untuk kompetensi divisi sales	Sales																				
SC	Sales counter 	sales yang berada khusus menjaga penjualan dealer 	sales																				
Scatter		Sebaran showroom usedcar by branch (Cabang)	Sales																				
Scorecard		Tools MCS yang ada di departemen service untuk mengukur bagaimana kinerja, performance, maupun tingkat kedisiplinan dari tim service	Service																				
Scorecard Scoring Matrix		tools yang digunakan oleh koordinator untuk menampilkan summary performance masing-masing officer (baik secara individu maupun posisi) dalam pencapaian terhadap KPI dan productivity	Operation																				
SDP	Sales Development Program	Bagian dari program JLDP  berfokus pada bagian / divisi sales selama 4,5 Bulan	Sales																				
SDR	Sales daily report	rekapan data penjualan dari mulai aplikasi in, valid sampai backlog setiap harinya 	sales 																				
SE	Surat Edaran	Surat edaran terkait kebijakan dari Head Office	Sales, Underwriting, AR																				
Segmen redeem		Segmen penebusan unit	AR																				
segment flag		Segmen untuk poin CBO	AR																				
Self audit	Self audit	Salah satu metode yang digunakan pejabat cabang untuk kontrol dan monitoring yang dilakukan biasanya ssatu bulan sekali. biasanya self audit untuk BPKB	Service																				
Selog		kurir yang bekerja sama dengan ACC dalam proses pengiriman kontrak ke customer	Underwriting																				
SERCO	Service Coordinator	Jabatan cabang coordinator yang bertugas dalam kegiatan service bertanggung jawab langung kepada OH	Service																				
SERO	Service Relationship Officer	 Merupakan suatu jabatan officer di servis yang bertugas untuk menangani customer kebiasaan ovd dengan memberi solusi rescheduling di cabangkepada customer yang masuk bucketnya (OVD 0-30 hari selama 3 bulan)	Service																				
Service Score Card		Tools MCS yang ada di departemen service untuk mengukur bagaimana kinerja, performance, maupun tingkat kedisiplinan dari tim service	Service																				
SESF	Staco Estika Sedaya Finance	Salah satu perusahaan yang dinaungi oleh ACC	umum																				
Setia		Salah satu paket ACC untuk aplikasi berupa dp 15%	Sales																				
SGU	Sewa Guna Usaha	Kegiatan Pembiayaan dalam bentuk penyediaan barang modal, yaitu financial lease atau operational lease. Produk yang dibiayai unit komersial, lease wajib menggunakan opsi membeli di akhir periode.	Sales 																				
SH	Sales Head	Jabatan cabang head yang bertugas di penjualan new car/nona/multiguna/used car dan bertanggung jawab langung kepada BM	sales																				
Shareholder		Pemegang saham	Operation																				
Showroom		Tempat untuk memamerkan mobil bagi pengusaha used car untuk meningkatkan pemasaran	Sales																				
SI	Shared Insurance	Merupakan porsi asuransi yang dikeluarkan ACC kepada pihak asuransi	Strategic Alliance	Porsi asuransi perusahaan x/Total asuransi																			
Siap jual		Unit tarikan yang sudah siap jual	AR																				
SIC	Short Interval Control	metode control yang digunakan oleh ARHH/ ARMH kepada ARHO/ARRO melalui telepon	Sales																				
SIGAP		Perusahaan yang menyalurkan tenaga kerja satpam bekerja sama dnegan ACC	umum																				
Silent Survey		Proses jalan survey yang dilakukan secara diam-diam untuk kepentingan tertentu sesuai dengan permintaan	Underwriting																				
SIPOC	Supply Input Process Output Customer	High level proses yang terjadi di suatu bagian	umum																				
SIUP 	surat izin usaha perdagangan 	sebagai salah satu syarat untuk mengajukan kredit yakni surat bukti mendirikan usaha 	sales																				
SJF	Sertifikat jaminan fidusia	Sertifikat fidusia, yang memiliki kekuatan apabila ACC ingin menarik unit dari customer	Underwriting																				
Sk Domisili	Surat Keterangan Domisili	Surat Keterangan bahwa seseorang/ perusahaan benar tinggal di suatu daerah tertentu	Underwriting																				
SK Eksternal	Surat Kuasa Eksternal	surat tarik yang dikeluarkan untuk pihak eksternal perusahaan (PEOJF)	AR																				
SK Fidusia	Surat Kuasa Fidusia	Bagian dari Dokumen kontrak yang digunakan untuk order fidusia	Underwriting																				
SK Menkeh	Surat Keputusan Menteri Kehakiman	Surat keputusan dari Menteri Kehakiman yang menyatakan bahwa perusahaan tersebut nyata dan melakukan kegiatan produksi	Underwriting																				
Sk Menkop	Surat Keputusan Menteri Koperasi	Surat keputusan dari Menteri Koperasi yang menyatakan bahwa koperasi tersebut nyata dan melakukan kegiatan produksi	Underwriting																				
SK Online	Surat Kuasa Online	Sama halnya dengan SK Tarik, tetapi SK Online terintegrasi online dan dapat di akses di ACC Yes	AR																				
SK Tarik	Surat Kuasa Tarik	Surat yang menjadi pegangan dan dasar hukum bagi ARRO atau PEOJF untuk melakukan penarikan unit dari customer yang menunggak angsurannya	AR																				
Skema Insentif		Kerangka pembagian refund (asuransi, bunga, admin, provisi) untuk dealer sesuai dengan level dealer tsb	Underwriting	Dihitung per unit (tergantung persentase yang diberikan sales)																			
Skill Scoring Matrix		Angka yang menunjukkan ukuran dari skill officer yang digunakan untuk proses evaluasi kinerja officer di underwriting	Underwriting																				
Skip Angsuran	Skip Angsuran	Customer dapat menunda pembayaran angsuran pada bulan tersebut dan dialihkan ke bulan-bulan berikutnya.	Service																				
SKP	Surat Keterangan Penghasilan	Surat keterangan yang menyatakan total penghasilan customer	Underwriting																				
SKTS	Surat Keterangan Tinggal Sementara	Surat keterangan yang dikeluarkan instansi berwenang dalam penyelenggaraan administrasi WNI yang tinggal di luar domisili asalnya lebih dari 3 bulan. Jika tidak memiliki KIPEM/SKTS dapat terkena sangsi berupa teguran atau denda hingga 50 juta jika ada razia yustisi.	Service																				
SKU	Syarat ketentuan umum fidusia	syarat-syarat untuk pembuatan fidusia	Underwriting																				
SL3MV	Sales Last 3 Month Valid	"aplikasi"" yang valid selama 3 bulan terakhir "	Service																				
SLA	Standard Level Agreement	Batas waktu untuk menyelesaikan suatu proses/ hal	Service																				
Slow Moving Unit		Unit-unit yang penjualannya tergolong sedikit atau jarang diperjualbelikan	Sales																				
SMART	Smart, Measurable, Achievable, Relevant, Time bound	Prinsip yang dipegang ketika membuat sebuah improvement	umum																				
SM	Sales Manager	Jabatan cabang yang menangani used car, nona, multiguna bertanggung jawab langung kepada RRSH	Sales																				
SME	Subject Meter Expert	Seseorang yang menjadi tolak ukur proses mapping di cabang karena dianggap sudah mengerti proses bisnis.	HC-LM																				
SMP	Sales Minimum Productivity	Target Unit valid Minimium yang harus dicapai oleh setiap individu sales sesuai dengan kategori, level dan ocean agar tidak terkena SP 3 dan dapat bertahan di level tertentu.	HC OD																				
SN	Serial Number	nomor identifikasi unit	umum																				
SNAPSHOT	Snapshot	Customer Menunggak di atas 7 hari	Fleet																				
SNAPSHOT	Snapshot	Customer Menunggak di atas 7 hari	Underwriting	S = total acount yg nunggak / L9MV x 100																			
Sniper		Salah satu bentuk vitamin dari acc kepada sales dealer	Sales																				
SO	Sales Officer	Jabatan cabang officer yang bertugas di penjualan new car/nona/multiguna/used car dan bertanggung jawab langung kepada SOH/SH	sales																				
SOC	Spend Of Control	jumlah rata-rata dealer yang ditangani satu cabang	Marketing Planning & Control																				
Soft Reschedule		perubahan isi kontrak yang menyebabkan menurunnya resiko kredit 	Service																				
SOH	Sales Officer Head	Jabatan cabang coordinator SO/SUW yang bertugas di penjualan new car/nona/multiguna/used car dan bertanggung jawab langung kepada SH	sales																				
SOP	Standar Operating Procedur	Dokumen yang berkaitan dengan prosedur yang dilakukan secara kronologis untuk menyelesaikan suatu pekerjaan yang bertujan untuk memperoleh hasil kerja yang oaling efektif dari para pekerja.	Sales 																				
SP	Sales Point	Klasifikasi cabang ACC kategori cabang kecil baik segi target jualan maupun target OSA	HC OD																				
SP	Service Point	Salah satu grade cabang terendah ACC	HC OD																				
SP BPKB	Surat Pernyataan Bukti Kepemilikaan Kendaraan Bermotor	Daftar list BPKB yang dimiliki oleh ACC yang harus di collect ke dealer	Service																				
SP BPKB > 90		Daftar list BPKB > 90 yang harus di collect oleh ACC ke dealer	Service																				
SP Istri	Surat Persetujuan Istri	Surat yang menyatakan persetujuan istri untuk mengambilan unit. Surat iuni terdapat pada saat tanda tangan kontrak	Sales ( SUW)																				
SP Suami	Surat Persetujuan Suami	Surat yang menyatakan persetujuan istri untuk mengambilan unit. Surat iuni terdapat pada saat tanda tangan kontrak	Sales ( SUW)																				
SP1	Surat Peringatan 1 ( Ovd 7 )	Surat yang dikirimkan ke rumah Customer dengan Ovd 7 hari, berisi peringatan untuk segera melakukan pembayaran	AR																				
SP2	Surat Peringatan 2 ( Ovd 11 )	Surat yang dikirimkan ke rumah Customer dengan Ovd 11 hari, berisi peringatan untuk segera melakukan pembayaran	AR																				
SP3	Surat Peringatan 3 ( Ovd 15 )	Surat yang dikirimkan ke rumah Customer dengan Ovd 15 hari, berisi peringatan untuk segera melakukan pembayaran	AR																				
SPB 	Surat Pernyataan Bersama	Surat yang berisi tentang perjanjian antara kreditur dan debitur 	Underwriting																				
SPB BPKB	Surat Perjanjian Bersama BPKB	Surat yang digunakan untuk mengambil BPKB dari dealer	Service																				
SPD	surat perjalanan dinas	surat-surat yang harus dipersiapkan sebelum menjalankan perjalanan dinas	Finance																				
SPD Advance		Surat perjalanan dinas yang dibayarkan setelah selesai menjalankan perjalanan	Operation																				
SPH	Surat Penyelesaian Hutang	Surat yang menandakan adanya penyelesaian overdue	Fleet Asset Management																				
Spit dokumen		Proses pemisahan dokumen kontrak didistribusikan kepada pihak yang membutuhkan dokumen tersebut	Underwriting																				
SPK	Surat Perintah Kerja	Sebagai acuan project kerja customer	Fleet Marketing																				
SPK	Surat Perjanjian Kerjasama	Surat yang menandai atau mendasari adanya kerjasama antara ACC dengan pihak eksternal. Contohnya dengan dealer dan birojasa terkait perpanjangan STNK.	Service																				
SPK	Surat Pemesanan Kendaraan	Surat keterangan yang menyatakan benar customer ingin membeli unit dari dealer tertentu	Underwriting																				
SPM	Surat Pemesanan Mobil	Dokumen yang ditulis oleh sales setelah melalui proses deal dengan konsumen dan dilanjutkan tanda jadi	Sales																				
SPV	Supervisor	Atasan Officer di dealer	Sales																				
Standard Operating Procedure		standar pelaksanaan kerja yang diterapkan bagi seluruh karyawan ACC agar tujuan perusahaan tercapai dan kinerja karyawan terarah	umum																				
stay		Account yg masuk lg ke bucket yg sama	AR																				
Stay F9PD		Account yang pada bulan lalu dan bulan ini masuk ke bucket penanganan yang angsurannya masih di bawah 9 bulan	AR																				
STEPPING DOWN	Stepping Down	Angsuran menurun	Sales																				
STEPPING UP	Stepping Up	Angsuran meningkat	Sales																				
STNK	Surat Tanda Nomor Kendaraan	Surat kendaraan yang diperlukan untuk pembiayaan used car atau multiguna	Sales ( SUW)																				
Stock opname	Stock opname	Metode yang digunakan untuk memastikan fisik dan yang ada di sistem sama. Biasanya untuk BPKB, unit di pool, dll, biasanya dilakukan 3 bulan sekali	Service																				
SO	Sales Officer	Jabatan di fungsi sales	sales																				
SU CL	Survey Close	Status aplikasi pada sistem yang menerangkan aplikasi sudah selesai melalui proses survey	Underwriting																				
SU OP	Survey Open	Status aplikasi pada sistem yang menerangkan aplikasi sudah diorder dan sedang dilakukan proses survey	Underwriting																				
Subro	Subrogasi	pergantian pembiayaan AF dari reguler menjadi JF	RISK MIS																				
Subsidi DP		Nominal yang ditetapkan untuk menutupi kekurangan pembayaran DP / uang muka kredit kendaraan.	Sales																				
Subsidi Rate		Nominal yang ditetapkan untuk menutupi kekurangan biaya bunga pada transaksi kredit kendaraan.	Sales																				
Subsidi Risk		Nominal yang ditetapkan untuk menutupi (sebagian / seluruh) resiko yang dapat timbul pada transaksi kredit kendaraan.	Sales																				
Succes rate		Jumlah kesuksesan penanganan baik payment/repo dalam %	AR	(succes account/Handling) x 100%																			
Sumbagsel	Sumatera Bagian Selatan	Coverage Area ACC di Pulau Sumatera Bagian Selatan	umum																				
Sumbagut	Sumatera Bagian Utara	Coverage Area ACC di Pulau Sumatera Bagian Utara 	umum																				
Supplier		Pihak yang terlibat dalam bisnis ACC sebagai pemberi bahan untuk menginputan (Contoh  : Dealer & Customer	Sales																				
